id,value
Zona do Euro,90.7
Zimbábue,77
Zâmbia,31
Vietnã,50.5
Venezuela,49.8
Uzbequistão,8.7
Uruguai,62.8
União Européia,85.2
Uganda,34.7
Ucrânia,71.21
Turquemenistão,16.8
Tunísia,47.5
Trinidad e Tobago,41.6
Togo,20.8
Tanzânia,39.9
Tajiquistão,28.34
Taiwan,36.5
Tailândia,45.7
Suriname,26.2
Suíça,34.4
Suécia,43.4
Sudão,79
Suazilândia,9.9
Sri Lanka,75.5
Síria,30.01
Seychelles,60
Sérvia,73.4
Serra Leoa,37.65
Senegal,35.2
São Tomé e Príncipe,68.23
Rússia,17.92
Ruanda,28
Romênia,38.4
República Dominicana,45.79
República do Congo,34
República Checa,41.1
Reino Unido,89.2
Quirguistão,55.2
Quênia,52.8
Portugal,129
Polônia,51.3
Peru,32.9
Peru,20.7
Paraguai,19.05
Paquistão,64.8
Papua Nova Guiné,38.8
Panamá,45.6
Palestina,17.3
Omã,4.8
Nova Zelândia,30.43
Noruega,31.6
Nigéria,10.5
Níger,24.8
Nicarágua,45.3
Nepal,28.8
Namíbia,24.6
Myanmar,31.6
Montenegro,61.4
Mongólia,51.7
Moldova,24.6
Moçambique,55.4
México,30.7
Mauritius,61.6
Mauritânia,66.9
Marrocos,63.89
Malta,63.9
Maldivas,20.4
Malawi,18
Malásia,54
Madagáscar,34.9
Macedónia,45.9
Luxemburgo,21.4
Lituânia,42.7
Líbia,6.1
Libéria,33.2
Líbano,134.41
Letônia,36.4
Lesoto,45.8
Laos,44.48
Kuweit,6.9
Kosovo,12.98
Jordânia,89
Japão,229.2
Jamaica,132.72
Itália,132.7
Israel,64.8
Islândia,82.4
Irlanda,93.8
Iraque,37.02
Irã,16.36
Indonésia,27
Índia,66.4
Ilhas Cayman,19.5
Iémen,49.95
Hungria,75.3
Hong Kong,32
Honduras,42.63
Holanda,65.1
Haiti,26.45
Guiné-Bissau,30.8
Guiné Equatorial,7.6
Guiné,20.81
Guiana,65.8
Guatemala,24.31
Grécia,176.9
Georgia,36.8
Gana,67.6
Gâmbia,47.7
Gabão,27.7
França,95.8
Finlândia,63.1
Filipinas,45.05
Fiji,50.6
Etiópia,28.6
Estônia,9.7
Estados Unidos,104.17
Espanha,99.2
Eslovenia,83.2
Eslováquia,52.9
Eritrea,45
Equador,29.8
Emirados Árabes Unidos,15.68
El Salvador,62.38
Egito,90.5
Djibouti,44.56
Dinamarca,40.2
Cuba,17.1
Croácia,86.7
Costa Rica,58.32
Costa do Marfim,36.41
Coreia do Sul,35.98
Congo,19.69
Comores,25.4
Colômbia,38
Cingapura,104.7
Chipre,108.9
China,43.9
Chile,17.5
Chade,23.8
Central Africano República,41.83
Cazaquistão,23.3
Catar,31.48
Canadá,86.51
Camboja,33.88
Camarões,19.9
Cabo Verde,114.22
Butão,98.9
Burundi,14.2
Burkina Faso,28.3
Bulgária,29.3
Brunei,2.3
Brasil,66.23
Botswana,23.1
Bósnia e Herzegovina,30.4
Bolívia,32.4
Benin,18.3
Belize,66.3
Bélgica,106
Belarus,23.6
Bangladesh,18
Bahrain,42
Bahamas,73.4
Azerbaijão,16
Áustria,86.2
Austrália,33.88
Armênia,42.23
Argentina,48.4
Argélia,8.76
Arábia Saudita,1.6
Angola,31
Alemanha,71.2
Albânia,72.13
África do Sul,50.1
Afeganistão,6.6
MEDIANA,40.65
MÉDIA,48.01
